File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\OfferFinder\application\config\db_connect.php,12,10,6,2,2,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\controllers\add_offer_controller.php,102,89,68,17,13,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\controllers\home_controller.php,13,9,6,1,4,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\controllers\ImageManipulator.php,280,163,105,38,29,0,88,334,0,0
C:\xampp\htdocs\OfferFinder\application\controllers\index.php,15,13,9,1,2,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\controllers\login_controller.php,23,16,11,3,7,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\controllers\logout.php,5,5,3,0,0,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\controllers\profile_update_controller.php,167,153,103,26,14,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\controllers\register_controller.php,153,131,101,24,22,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\controllers\show_data.php,14,10,6,1,4,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\models\category.php,34,31,9,3,3,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\models\company.php,193,138,54,26,19,0,36,86,0,0
C:\xampp\htdocs\OfferFinder\application\models\offer.php,48,26,9,4,4,0,18,40,0,0
C:\xampp\htdocs\OfferFinder\application\views\add_offer.php,180,174,63,22,6,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\views\footer.php,8,7,0,0,1,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\views\header.php,14,12,0,0,2,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\views\home.php,65,63,11,3,2,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\views\login.php,37,34,16,2,3,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\views\menu.php,8,7,0,0,1,1,0,2,0,0
C:\xampp\htdocs\OfferFinder\application\views\profile_update.php,266,260,106,34,6,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\application\views\register.php,250,245,89,31,5,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\public\css\gmaps.css,27,12,9,0,6,0,9,40,9,40
C:\xampp\htdocs\OfferFinder\public\css\style.css,250,220,190,0,30,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\public\js\date_picker\datetimepicker_css.js,1342,1096,657,148,183,81,63,745,13,77
C:\xampp\htdocs\OfferFinder\public\js\google_maps\gmaps.php,129,106,54,1,23,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\public\js\google_maps\gmaps_helper.php,13,10,7,0,3,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\statistics\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\test\application\controllers\add_offer_controllerTest.php,251,192,68,0,59,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\test\application\controllers\login_controllerTest.php,61,40,16,0,21,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\test\application\controllers\profile_update_controllerTest.php,310,246,86,0,64,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\test\application\controllers\register_controllerTest.php,78,58,22,0,20,0,0,0,0,0
C:\xampp\htdocs\OfferFinder\_install\db_install.php,80,66,13,1,14,0,0,0,0,0
